,author,candidate,label
0,J. Yu,J. Yu,1
1,J. Yu,Zhuang Ye,0
2,J. Yu,Jianbo Yu,1
3,J. Yu,Z. Ye,0
4,J. Yu,Yuan'An Liu,0
5,J. Yu,B. Tang,0
6,J. Yu,Fan Wu,0
7,J. Yu,Yi Su,0
8,J. Yu,Z. Hao,0
9,J. Yu,Z. Chen,0
10,J. Yu,Wenhao Fan,0
11,J. Yu,Y. Liu,0
12,J. Yu,F. Wu,0
13,J. Yu,Y. Su,0
14,J. Yu,J. Liu,0
15,J. Yu,S. Li,0
16,J. Yu,W. Fan,0
17,J. Yu,Y. B. Guo,0
18,J. Yu,L. Bian,0
19,J. Yu,"Guo, W",0
20,J. Yu,Shenghan Guo,0
21,J. Yu,W. Guo,0
22,J. Yu,"Guo, S",0
23,J. Yu,Weihong Guo,0
24,J. Yu,Z. Feng,0
25,J. Yu,D. Wang,0
26,J. Yu,S. Guo,0
27,J. Yu,Hicham Chaoui,0
28,J. Yu,Safieh Bamati,0
29,J. Yu,H. Chaoui,0
30,J. Yu,S. Bamati,0
31,J. Yu,Jiaxi Li,0
32,J. Yu,Bo Hu,0
33,J. Yu,J. Li,0
34,J. Yu,B. Hu,0
35,J. Yu,Andrea Bartolini,0
36,J. Yu,M. Milano,0
37,J. Yu,M. Molan,0
38,J. Yu,A. Borghesi,0
39,J. Yu,A. Bartolini,0
40,J. Yu,A. Burrello,0
41,J. Yu,Andrea Borghesi,0
42,J. Yu,W. D. Lu,0
43,J. Yu,B. Cline,0
44,J. Yu,S. Jeloka,0
45,J. Yu,X. Zhu,0
46,J. Yu,Z. Wang,0
47,J. Yu,M. Sun,0
48,J. Yu,Z. Zhao,0
49,J. Yu,S. Wang,0
50,J. Yu,Z. Wang,0
51,J. Yu,P. Tiwari,0
52,J. Yu,N. Ammar,0
53,J. Yu,A. Ganlath,0
54,J. Yu,H. Wang,0
55,J. Yu,K. Han,0
56,J. Yu,R. Gupta,0
57,J. Yu,Z. Wang,0
58,J. Yu,S. Wu,0
59,J. Yu,J. Zhao,0
60,J. Yu,B. Zhang,0
61,J. Yu,L. Zhang,0
62,J. Yu,Z. Wang,0
63,J. Yu,Y. Li,0
64,J. Yu,W. Cai,0
65,J. Yu,J. Cui,0
66,J. Yu,Z. Wang,0
67,J. Yu,R. Yan,0
68,J. Yu,X. Li,0
69,J. Yu,M. Wu,0
70,J. Yu,K. Wu,0
71,J. Yu,Z. Chen,0
72,J. Yu,R. Jin,0
73,J. Yu,Xiaoli Li,0
74,J. Yu,Zhenghua Chen,0
75,J. Yu,K. Gao,0
76,J. Yu,Keyu Wu,0
77,J. Yu,Min Wu,0
78,J. Yu,Riubing Jin,0
79,J. Yu,Xiandong Ma,0
80,J. Yu,K. A. A. Gamage,0
81,J. Yu,C. James Taylor,0
82,J. Yu,N. Javeid,0
83,J. Yu,Inam Ullah Khan,0
84,J. Yu,X. Ma,0
85,J. Yu,C. J. Taylor,0
86,J. Yu,Nadeem Javaid,0
87,J. Yu,I. U. Khan,0
88,J. Yu,"Boning, DS",0
89,J. Yu,A. Samolov,0
90,J. Yu,E. Wilson,0
91,J. Yu,R. Sprenkle,0
92,J. Yu,"Lang, CI",0
93,J. Yu,Duane S. Boning,0
94,J. Yu,A. Mckiernan,0
95,J. Yu,A. Bowers,0
96,J. Yu,P. Alfred,0
97,J. Yu,P. Cardillo,0
98,J. Yu,J. Ruth,0
99,J. Yu,A. A. Dujaili,0
100,J. Yu,J. Dillon,0
101,J. Yu,B. Lawler,0
102,J. Yu,F. -K. Sun,0
103,J. Yu,Cristopher I. Lang,0
104,J. Yu,D. S. Boning,0
105,J. Yu,P. Kothnur,0
106,J. Yu,S. Didari,0
107,J. Yu,A. Jansen,0
108,J. Yu,C. I. Lang,0
109,J. Yu,DL Zeng,0
110,J. Yu,YJ Wang,0
111,J. Yu,"Gao, F",0
112,J. Yu,"Wang, Yuanjia",0
113,J. Yu,"Zeng, Donglin",0
114,J. Yu,"Scahill, R I",0
115,J. Yu,"McColgan, P",0
116,J. Yu,"Li, Xiang",0
117,J. Yu,"Xie, SH",0
118,J. Yu,"Wang, YJ",0
119,J. Yu,"Marder, K",0
120,J. Yu,"Zeng, DL",0
121,J. Yu,"Li, X",0
122,J. Yu,"Christiani, DC",0
123,J. Yu,"Hou, LF",0
124,J. Yu,"Lin, XH",0
125,J. Yu,"Mucci, LA",0
126,J. Yu,"Wang, J",0
127,J. Yu,"Zheng, YN",0
128,J. Yu,"Su, L",0
129,J. Yu,"Hutchinson, JN",0
130,J. Yu,"Guo, YC",0
131,J. Yu,"Yuan, QY",0
132,J. Yu,"Du, ML",0
133,J. Yu,"Wang, ZH",0
134,J. Yu,"Friedlander, RM",0
135,J. Yu,"Carlisle, DL",0
136,J. Yu,"Poloyac, SM",0
137,J. Yu,"Minnigh, MB",0
138,J. Yu,"Oberly, P",0
139,J. Yu,"Wang, XM",0
140,J. Yu,"Li, F",0
141,J. Yu,"Yablonska, S",0
142,J. Yu,"Singh, T",0
143,J. Yu,"Kim, J",0
144,J. Yu,"Suofu, Y",0
145,J. Yu,"Baranov, SV",0
146,J. Yu,"Jauhari, A",0
147,J. Yu,"Wu, H",0
148,J. Yu,"Sun, GZ",0
149,J. Yu,"Zhang, T",0
150,J. Yu,"Jiang, TY",0
151,J. Yu,"Zeng, WP",0
152,J. Yu,"Su, B",0
153,J. Yu,"Wang, LL",0
154,J. Yu,"Song, T",0
155,J. Yu,"Zhang, LJ",0
156,J. Yu,"Wang, L",0
157,J. Yu,"Alexander, Daniel C.",0
158,J. Yu,"Scahill, Rachael I.",0
159,J. Yu,"Tabrizi, S.J.",0
160,J. Yu,"Paulsen, JS",0
161,J. Yu,"Georgiou-Karistianis, N",0
162,J. Yu,"Sampaio, C",0
163,J. Yu,"Mohan, A",0
164,J. Yu,"Poudel, GR",0
165,J. Yu,"Johnson, HJ",0
166,J. Yu,S. Gregory,0
167,J. Yu,"Aksman, L",0
168,J. Yu,"Eshaghi, A",0
169,J. Yu,Eileanoir B. Johnson,0
170,J. Yu,P.A. Wijeratne,0
171,J. Yu,S.J. Tabrizi,0
172,J. Yu,"Langbehn, D",0
173,J. Yu,"Sahakian, BJ",0
174,J. Yu,"Robbins, TW",0
175,J. Yu,"Rees, G",0
176,J. Yu,"Wild, EJ",0
177,J. Yu,"Zhang, H",0
178,J. Yu,"Zetterberg, H",0
179,J. Yu,"Sampaio, Cristina",0
180,J. Yu,"Hyare, H",0
181,J. Yu,"Heselgrave, A",0
182,J. Yu,"Byrne, LM",0
183,J. Yu,"Rodrigues, F B",0
184,J. Yu,"Wellington, H",0
185,J. Yu,"Fayer, K",0
186,J. Yu,"Estevez-Fraga, C",0
187,J. Yu,"McColgan, Peter",0
188,J. Yu,"Papoutsi, M",0
189,J. Yu,"Langley, C",0
190,J. Yu,"O'Callaghan, C",0
191,J. Yu,"Nair, A",0
192,J. Yu,"Lowe, J",0
193,J. Yu,"Parker, C",0
194,J. Yu,"Gregory, Sarah",0
195,J. Yu,"Johnson, E B",0
196,J. Yu,"Osborne-Crowley, K",0
197,J. Yu,"Zeun, P",0
198,J. Yu,Rachael I. Scahill,0
199,J. Yu,"Wild, Edward J",0
200,J. Yu,H. Zetterberg,0
201,J. Yu,A. Heslegrave,0
202,J. Yu,"Scahill, R.I.",0
203,J. Yu,"Schobel, S",0
204,J. Yu,"Tabrizi, Sarah J.",0
205,J. Yu,D.C. Alexander,0
206,J. Yu,"Furby, H",0
207,J. Yu,"Houghton, R",0
208,J. Yu,"Ghazaleh, N",0
209,J. Yu,E. De Vita,0
210,J. Yu,M. Arridge,0
211,J. Yu,"Wijeratne, PA",0
212,J. Yu,"Johnson, EB",0
213,J. Yu,"Tortelli, R",0
214,J. Yu,"Byrne, L M",0
215,J. Yu,F.B. Rodrigues,0
216,J. Yu,EJ. Wild,0
217,J. Yu,"Zetterberg, H",0
218,J. Yu,"Heslegrave, A.",0
219,J. Yu,R.I. Scahill,0
220,J. Yu,"De Vita, Enrico",0
221,J. Yu,"Arridge, M",0
222,J. Yu,"Foiani, MS",0
223,J. Yu,E.B. Johnson,0
224,J. Yu,R. Tortelli,0
225,J. Yu,"Rodrigues, Filipe B.",0
226,J. Yu,L.M. Byrne,0
227,J. Yu,"Ou, ZYA",0
228,J. Yu,"Alexander, DC",0
229,J. Yu,"Tabrizi, SJ",0
230,J. Yu,"Scahill, Rachael I.",0
231,J. Yu,"Paulsen, JS",0
232,J. Yu,"Georgiou-Karistianis, N",0
233,J. Yu,"Gregory, S",0
234,J. Yu,"Johnson, Eileanoir B.",0
235,J. Yu,"Wijeratne, Peter A.",0
236,J. Yu,"Wild, E J",0
237,J. Yu,"Zetterberg, Henrik",0
238,J. Yu,"Heslegrave, Amanda",0
239,J. Yu,"Tortelli, Rosanna",0
240,J. Yu,"Byrne, LM",0
241,J. Yu,"Scahill, RI",0
242,J. Yu,"Johnson, EB",0
243,J. Yu,"De Vita, E",0
244,J. Yu,"Arridge, Marzena",0
245,J. Yu,"Rodrigues, FB",0
246,J. Yu,"Lowe, AJ",0
247,J. Yu,"Abraham, NG",0
248,J. Yu,"Bhesania, SR",0
249,J. Yu,"Bialczak, A",0
250,J. Yu,"O'Hanlon, K",0
251,J. Yu,"Weingarten, JA",0
252,J. Yu,"Liu, L",0
253,J. Yu,"Singh, S",0
254,J. Yu,E. Thompson,0
255,J. Yu,"Shapiro, JI",0
256,J. Yu,"Peterson, SJ",0
257,J. Yu,"Sodhi, Komal",0
258,J. Yu,"Thompson, Ellen",0
259,J. Yu,"Tirona, Maria Tria",0
260,J. Yu,"Dao, B",0
261,J. Yu,"Zehra, M",0
262,J. Yu,"Pillai, SS",0
263,J. Yu,"Lakhani, Hari Vishal",0
264,J. Yu,"Thompson, E",0
265,J. Yu,"Sodhi, K",0
266,J. Yu,"Tirona, MT",0
267,J. Yu,"Lakhani, HV",0
268,J. Yu,"Puri, N",0
269,J. Yu,"Chaudhry, H",0
270,J. Yu,"Bonsu, G",0
271,J. Yu,"Pereira, DG",0
272,J. Yu,"Pillai, Sneha S.",0
273,J. Yu,"Harrington, Michael G",0
274,J. Yu,"Fonteh, Alfred N",0
275,J. Yu,"King, KS",0
276,J. Yu,"Lee, R",0
277,J. Yu,"Arakaki, Xianghong",0
278,J. Yu,M.G. Harrington,0
279,J. Yu,A.N. Fonteh,0
280,J. Yu,"Pogoda, Janice M.",0
281,J. Yu,"Chui, H",0
282,J. Yu,"King, Kevin S.",0
283,J. Yu,"Tran, T",0
284,J. Yu,"Edminster, SP",0
285,J. Yu,"Shenoi, S",0
286,J. Yu,"Castor, KJ",0
287,J. Yu,"Harrington, M. G. ",0
288,J. Yu,"Edminster, Sarah P.",0
289,J. Yu,X. Arakaki,0
290,J. Yu,"Chiang, AJ",0
291,J. Yu,"Fonteh, AN",0
292,J. Yu,"Harrington, MG",0
293,J. Yu,"Pogoda, JM",0
294,J. Yu,"Zlokovic, Berislav, V",0
295,J. Yu,"Fonteh, Alfred N.",0
296,J. Yu,"Arakaki, X",0
297,J. Yu,"Montagne, A",0
298,J. Yu,"Sagare, AP",0
299,J. Yu,"Sweeney, MD",0
300,J. Yu,"Gross, NB",0
301,J. Yu,"Cowan, RP",0
302,J. Yu,"Bowman, GL",0
303,J. Yu,"Scarmeas, N",0
304,J. Yu,"Samieri, C",0
305,J. Yu,"Cunnane, S",0
306,J. Yu,"Tanzi, R",0
307,J. Yu,"Zlokovic, BV",0
308,J. Yu,"Albensi, BC",0
309,J. Yu,"Johnson, LA",0
310,J. Yu,"Swerdlow, RH",0
311,J. Yu,"Feldman, HH",0
312,J. Yu,"Luchsinger, JA",0
313,J. Yu,"Kalaria, R",0
314,J. Yu,"Gibson, GE",0
315,J. Yu,"Graff, J",0
316,J. Yu,"Harrington, Michael G.",0
317,J. Yu,"Fonteh, AN",0
318,J. Yu,"Golden, LR",0
319,J. Yu,"Abdullah, L",0
320,J. Yu,"Shanmugam, NN",0
321,J. Yu,"Santoni, G",0
322,J. Yu,"Kerman, BE",0
323,J. Yu,"Self, W",0
324,J. Yu,"Yassine, HN",0
325,J. Yu,"Southwell, AL",0
326,J. Yu,"Hayden, MR",0
327,J. Yu,"Song, JJ",0
328,J. Yu,"Wild, Edward J.",0
329,J. Yu,"Seong, IS",0
330,J. Yu,"Kim, H",0
331,J. Yu,"Cheung, D",0
332,J. Yu,"Ko, Seunghyun",0
333,J. Yu,"Casal, L",0
334,J. Yu,"Black, Hailey F",0
335,J. Yu,"Potluri, N",0
336,J. Yu,"Smith, SEP",0
337,J. Yu,"Xie, YY",0
338,J. Yu,"Smith, ED",0
339,J. Yu,"Byrne, Lauren M.",0
340,J. Yu,A.E. Aly,0
341,J. Yu,"Yanick, C",0
342,J. Yu,"Banos, Raul",0
343,J. Yu,"Caron, NS",0
344,J. Yu,M.R. Hayden,0
345,J. Yu,"Southwell, Amber L.",0
346,J. Yu,"Gordon, B",0
347,J. Yu,"Anderson, LM",0
348,J. Yu,"Black, Hailey Findlay",0
349,J. Yu,"Anderson, C",0
350,J. Yu,"Potluri, Nalini",0
351,J. Yu,"Ko, S",0
352,J. Yu,"Xie, Yuanyun",0
353,J. Yu,"Aly, AE",0
354,J. Yu,"Banos, R",0
355,J. Yu,"Caron, Nicholas S.",0
356,J. Yu,"Hayden, Michael R",0
357,J. Yu,"Leavitt, BR",0
358,J. Yu,"Stanimirovic, D",0
359,J. Yu,"Abulrob, A",0
360,J. Yu,"McBride, JL",0
361,J. Yu,"Bone, JN",0
362,J. Yu,"Black, HF",0
363,J. Yu,"Aly, Amirah E.",0
364,J. Yu,"Sandhu, A",0
365,J. Yu,"Haqqani, AS",0
366,J. Yu,"Caron, Nicholas S",0
367,J. Yu,"Higham, Helen",0
368,J. Yu,"Noble, J Alison",0
369,J. Yu,"West, Simeon",0
370,J. Yu,"Vasalauskaite, Asta",0
371,J. Yu,"Sleep, Nick",0
372,J. Yu,"Rees, Tom",0
373,J. Yu,"Phillips, David",0
374,J. Yu,"Morecroft, Megan",0
375,J. Yu,"Margetts, Steve",0
376,J. Yu,"Harris, Catherine",0
377,J. Yu,"Burckett-St Laurent, David",0
378,J. Yu,"Macfarlane, Alan J R",0
379,J. Yu,"Bowness, James S",0
380,J. Yu,"Higham, H",0
381,J. Yu,"Noble, JA",0
382,J. Yu,"Vasalauskaite, A",0
383,J. Yu,"Woodworth, Glenn",0
384,J. Yu,"Taylor, Alasdair",0
385,J. Yu,"Sleep, N",0
386,J. Yu,"Rosenblatt, Meg",0
387,J. Yu,"Pawa, Amit",0
388,J. Yu,"Moka, Eleni",0
389,J. Yu,"Margetts, S",0
390,J. Yu,"Lobo, Clara",0
391,J. Yu,"Keane, Pearse A",0
392,J. Yu,"Hernandez, Nadia",0
393,J. Yu,"Burckett-St Laurent, D",0
394,J. Yu,"Bowness, James Simeon",0
395,Zhuang Ye,J. Yu,0
396,Zhuang Ye,Zhuang Ye,1
397,Zhuang Ye,Jianbo Yu,0
398,Zhuang Ye,Z. Ye,1
399,Zhuang Ye,Yuan'An Liu,0
400,Zhuang Ye,B. Tang,0
401,Zhuang Ye,Fan Wu,0
402,Zhuang Ye,Yi Su,0
403,Zhuang Ye,Z. Hao,0
404,Zhuang Ye,Z. Chen,0
405,Zhuang Ye,Wenhao Fan,0
406,Zhuang Ye,Y. Liu,0
407,Zhuang Ye,F. Wu,0
408,Zhuang Ye,Y. Su,0
409,Zhuang Ye,J. Liu,0
