,author,author_name,candidate,candidate_name,label
3892,"Weingarten , JA Oxidized HDL , Adipokines , Endothelial Dysfunction : Potential Biomarker Profile Cardiovascular Risk Women Obesity Objective High BMI predicts adverse cardiovascular outcomes positively correlates increased levels adipokines . relationship among BMI , IL-6 , TNF alpha , adiponectin , oxidized high-density lipoprotein ( Ox-HDL ) circulating endothelial cells ( CECs ) endothelial progenitor cells ( EPCs ) well studied . Elevated CEC levels described humans mice obesity diabetes . Ox-HDL shown potent driver adipogenesis vivo vitro . study , elevated BMI examined 2 groups women studied Brooklyn , New York , Huntington , West Virginia , respectively . Methods Twenty-six females obesity five lean controls without overt cardiovascular disease enrolled , 13 Huntington 13 Brooklyn . Cytokine levels , EPCs , CECs determined . Results Females obesity elevated levels leptin , IL-6 , Ox-HDL , increased CEC levels , decreased EPC adiponectin levels ( P < 0.01 ) . Ox-HDL levels higher women Brooklyn versus Huntington ( P < 0.01 ) , possibly higher TNF alpha levels Brooklyn higher adiponectin levels Huntington . Seventy-five percent variance Ox-HDL levels could predicted population ( P < 0.01 ) . Conclusions study reveals unique inflammatory biomarker profile females obesity . 2019.0 Peterson , SJ Shapiro , JI Thompson , E Singh , Liu , L O'Hanlon , K Bialczak , Bhesania , SR Abraham , NG","Weingarten, JA","Estevez-Fraga , C Biological clinical characteristics gene carriers far predicted onset Huntington ? disease Young Adult Study ( HD-YAS ) : cross-sectional analysis Background Disease-modifying treatments development Huntington 's disease ; crucial success identify timepoint patient 's life measurable biomarker early neurodegeneration clinical function still intact . aimed identify timepoint novel cohort young adult premanifest Huntington 's disease gene carriers ( preHD ) far predicted clinical symptom onset . Methods Huntington 's disease Young Adult Study ( HD-YAS ) UK . recruited young adults preHD controls matched age , education , sex ensure group least 60 participants imaging data , accounting scan fails . Controls either family history Huntington 's disease negative genetic test , known family history Huntington 's disease . participants underwent detailed neuropsychiatric cognitive assessments , including tests Cambridge Neuropsychological Test Automated Battery battery assessing emotion , motivation , impulsivity social cognition ( EMOTICOM ) . Imaging ( done participants without contraindications ) included volumetric MRI , diffusion imaging , multiparametric mapping . Biofluid markers neuronal health examined using blood CSF collection . cross-sectional analysis using general least-squares linear models assess group differences associations age CAG length , relating predicted years clinical onset . Results corrected multiple comparisons using false discovery rate ( FDR ) , FDR < 0.05 deemed significant result . Findings Data obtained Aug 2 , 2017 , April 25 , 2019 . recruited 64 young adults preHD 67 controls . Mean ages participants 29.0 years ( SD 5.6 ) 29.1 years ( 5.7 ) preHD control groups , respectively . noted significant evidence cognitive psychiatric impairment preHD participants 23.6 years ( SD 5.8 ) predicted onset ( FDR 0.22-0.87 cognitive measures , 0.31-0.91 neuropsychiatric measures ) . preHD cohort slightly smaller putamen volumes ( FDR=0.03 ) , appear closely related predicted years onset ( FDR=0.54 ) . group differences brain imaging measures ( FDR > 0.16 ) . CSF neurofilament light protein ( NfL ) , plasma NfL , CSF YKL-40 elevated far-from-onset preHD cohort compared controls ( FDR < 0.0001 , =0.01 , =0.03 , respectively ) . CSF NfL elevations likely individuals closer expected clinical onset ( FDR < 0.0001 ) . Interpretation report normal brain function yet rise sensitive measures neurodegeneration preHD cohort approximately 24 years predicted clinical onset . CSF NfL appears sensitive measure plasma NfL monitor disease progression . preHD cohort one earliest yet studied , findings could used inform decisions initiate potential future intervention delay prevent neurodegeneration function intact . 2020.0 Scahill , RI Zeun , P Osborne-Crowley , K Johnson , EB Gregory , Parker , C Lowe , J Nair , O'Callaghan , C Langley , C Papoutsi , McColgan , P Fayer , K Wellington , H Rodrigues , FB Byrne , LM Heselgrave , Hyare , H Sampaio , C Zetterberg , H Zhang , H Wild , EJ Rees , G Robbins , TW Sahakian , BJ Langbehn , Tabrizi , SJ","Estevez-Fraga, C",0
64711,"Cristopher I. Lang One Class Process Anomaly Detection Using Kernel Density Estimation Methods present one-class anomaly detection method uses time series sensor data detect anomalies faults semiconductor fabrication processes . Critically , method trained using small amounts known successful run data , making possible implement many processes recipes without needing example faults . proposed method uses kernel density estimation ( KDE ) create probability distributions sensor values nominal processing . classifying unseen sensor data , determine likelihood arose ( often non-Gaussian ) nominal distribution , allowing us classify new signals nominal , faulty . present model extensions enable adaptation changes underlying process , i.e. , concept drift , well transfer learning techniques enable training anomaly detectors new process recipes less data . proposed methods tested historical data plasma etch ion implantation processes , outperforming benchmark methods including traditional statistical process control ( SPC ) , one-class support vector machine ( OC-SVM ) , variational auto-encoder ( VAE ) based detectors . 2022 anomalies anomaly detection faults fault detection one-class classification ion implantation kernel density estimation plasma etch time series F. -K. Sun B. Lawler J. Dillon . A. Dujaili J. Ruth P. Cardillo P. Alfred A. Bowers A. Mckiernan D. S. Boning",Cristopher I. Lang,"Johnson , Eileanoir B . Multi-Study Model-Based Evaluation Sequence Imaging Clinical Biomarker Changes Huntington 's Disease Understanding order progression change biomarkers neurodegeneration essential detect effects pharmacological interventions biomarkers . Huntington 's disease ( HD ) , motor , cognitive MRI biomarkers currently used clinical trials drug efficacy . first time use directly compare data three large observational studies HD ( total N = 532 ) using probabilistic event-based model ( EBM ) characterise order motor , cognitive MRI biomarkers become abnormal . also investigate impact genetic cause HD , cytosine-adenine-guanine ( CAG ) repeat length , progression stages . find EBM uncovers broadly consistent order events across three studies ; EBM stage reflects clinical stage ; EBM stage related age genetic burden . findings indicate measures subcortical white matter volume become abnormal prior clinical cognitive biomarkers . Importantly , CAG repeat length large impact timing onset stage progression stages , longer repeat length resulting earlier onset faster progression . results used help design clinical trials treatments Huntington 's disease , influencing choice biomarkers recruitment participants . 2021.0 huntington 's disease biomarkers disease progression model multi-study investigation clinical staging Wijeratne , PA Gregory , Georgiou-Karistianis , N Paulsen , JS Scahill , RI Tabrizi , SJ Alexander , DC","Johnson, Eileanoir B.",0
22531,"S. Guo UIR-Net : Object Detection Infrared Imaging Thermomechanical Processes Automotive Manufacturing Thermomechanical processes ( TMPs ) resistance spot welding ( RSW ) hot stamping widely used automotive manufacturing . Recent advancement sensing technology led increasing adoption thermographic cameras capture infrared ( IR ) radiation metal part ( component part ) thermomechanical processing immediately process part still hot . Detecting object ( ) interest raw IR images essential step analyzing data . Deep learning ( DL ) recent success object detection ( OD ) , application DL-based OD industrial IR images manufacturing largely lagging behind . major contribution work , also distinction previous OD studies , capability building OD model unlabeled IR images , i.e. , imaging data without accurate information indicating object position . architecture Unsupervised IR Image Net ( UIR-Net ) designed accommodate unique characteristics IR images TMPs manufacturing . study presents novel method OD unlabeled IR images TMPs . proposed method , called UIR-Net , consists two components : label generation DL model construction . Two case studies automotive manufacturing , RSW hot stamping , reported demonstrate feasibility effectiveness proposed method . Note Practitioners���This article motivated problem detecting objects weld nugget metal piece infrared ( IR ) imaging thermomechanical processes ( TMPs ) automotive manufacturing . method applicable situ IR images videos contain one objects detected . requires data image form come TMPs . Currently , existing deep learning ( DL ) -based method generic object detection ( OD ) unlabeled IR images TMPs . proposed method takes advantages recent advancement DL . article suggests systematic approach build DL-based OD model , named Unsupervised IR Image Net ( UIR-Net ) , extract objects raw IR images collected TMPs . step-by-step procedure given article guide users label generation , data quality evaluation , model training establish proposed UIR-Net model . Results resistance spot welding hot stamping suggest approach feasible effective . one generic OD works designed manufacturing applications . Simple implementation , feasibility , effectiveness make method suitable candidate online data analytics process monitoring wide range manufacturing applications . 2022 deep learning ( dl ) manufacturing object detection ( od ) unsupervised label generation infrared ( ir ) images D. Wang Z. Feng W. Guo",S. Guo,"Guo , Process Monitoring Fault Prediction Multivariate Time Series Using Bag-of-Words Multivariate time series ( MTS ) arise due multisensor data collection manufacturing . data complex sense attributes varying scale , volitivity , continuity , , interattribute dependence also appears , mask inherent information system health status . Conventional machine learning-based process monitoring techniques inefficient predicting faults MTS���their detection capability heavily relies input features , yet classification power MTS attributes weakened complexity multisensor data . Effective feature extraction , therefore , necessary facilitate fault prediction MTS . study proposes fault prediction framework MTS based bag-of-words ( BOW ) feature extraction , statistical feature selection , classification analysis . BOW models first time adopted manufacturing context . superior capability information preservation , local pattern recognition , temporal effect accommodation overcome major limitations current manufacturing practices MTS . comprehensive case study demonstrates desirable performance framework two MTS data sets paper manufacturing automotive manufacturing , well superiority conventional machine learning-based fault prediction . Note Practitioners���Process monitoring multisensor environment vital interest manufacturing . difficulty lies lack detection power many conventional techniques , e.g. , control chart logistic regression . critical reason failure neglect time effect MTS���patterns associated system faults tend stretch period , conventional control chart classifier inspects time stamp separately . Fault detection based time series sequences , therefore , essential . However , effectively extract features MTS becomes challenge . framework proposed study adopts BOW models , specifically symbolic aggregate approximation ( SAX ) , extract features MTS sequences , thus substantially improves detection power local patterns time . Many manufacturing multisensor data subject local patterns point root cause fault , proposed framework wide application manufacturing . 2022 bag-of-words ( bow ) feature extraction multivariate time series ( mts ) symbolic aggregate approximation ( sax ) W. Guo","Guo, S",1
28419,"Thompson , Ellen Detecting early onset anthracyclines-induced cardiotoxicity using novel panel biomarkers West-Virginian population breast cancer Cardiotoxic manifestation associated breast cancer treatment anthracycline regimen increases patients ' susceptibility myocardial injury , reduction left ventricular ejection fraction complications associated heart failure . currently standardized , minimally invasive , cost effective clinically verified procedure monitor cardiotoxicity post-anthracycline therapy initiation , detect early onset irreversible cardiovascular complications . study aims create panel novel biomarkers circulating miRNAs associated cardiotoxicity , assessing correlation cardiac injury specific markers , troponin , demonstrate development cardiac dysfunction breast cancer patients . Blood obtained West Virginian females clinically diagnosed breast cancer receiving anthracyclines showed upregulated level biomarkers circulating miRNAs 3 6 months chemotherapy initiation increased levels cardiac troponin T. biomarkers miRNAs significantly correlated elevated troponins . Following 6 months anthracycline-regimens , 23 % patient population showed cardiotoxicity reduced left ventricular ejection fraction . results support clinical application plasma biomarkers circulating miRNAs develop panel early diagnosis chemotherapy related cardiac dysfunction enable early detection disease progression management irreversible cardiac damage . 2021.0 Lakhani , HV Pillai , SS Zehra , Dao , B Tirona , MT Sodhi , K","Thompson, Ellen","E. Thompson Oxidized HDL , Adipokines , Endothelial Dysfunction : Potential Biomarker Profile Cardiovascular Risk Women Obesity Objective High BMI predicts adverse cardiovascular outcomes positively correlates increased levels adipokines . relationship among BMI , IL-6 , TNF alpha , adiponectin , oxidized high-density lipoprotein ( Ox-HDL ) circulating endothelial cells ( CECs ) endothelial progenitor cells ( EPCs ) well studied . Elevated CEC levels described humans mice obesity diabetes . Ox-HDL shown potent driver adipogenesis vivo vitro . study , elevated BMI examined 2 groups women studied Brooklyn , New York , Huntington , West Virginia , respectively . Methods Twenty-six females obesity five lean controls without overt cardiovascular disease enrolled , 13 Huntington 13 Brooklyn . Cytokine levels , EPCs , CECs determined . Results Females obesity elevated levels leptin , IL-6 , Ox-HDL , increased CEC levels , decreased EPC adiponectin levels ( P < 0.01 ) . Ox-HDL levels higher women Brooklyn versus Huntington ( P < 0.01 ) , possibly higher TNF alpha levels Brooklyn higher adiponectin levels Huntington . Seventy-five percent variance Ox-HDL levels could predicted population ( P < 0.01 ) . Conclusions study reveals unique inflammatory biomarker profile females obesity . 2019.0 Peterson , SJ Shapiro , JI Singh , Liu , L Weingarten , JA O'Hanlon , K Bialczak , Bhesania , SR Abraham , NG",E. Thompson,1
41685,"H. Zetterberg Mutant huntingtin neurofilament light distinct longitudinal dynamics Huntington 's disease longitudinal dynamics promising biofluid biomarker candidates Huntington 's disease ( HD ) -mutant huntingtin ( mHTT ) neurofilament light ( NfL ) -are incompletely defined . Characterizing changes candidates disease progression could increase understanding disease pathophysiology help identification effective therapies . 80-participant cohort 24 months , mHTT cerebrospinal fluid ( CSF ) , well NfL CSF blood , distinct longitudinal trajectories HD mutation carriers compared controls . Baseline analyte values predicted clinical disease status , subsequent clinical progression , brain atrophy , better rate change analytes . Overall , NfL stronger monitoring prognostic biomarker HD mHTT . Nonetheless , mHTT prognostic value might valuable pharmacodynamic marker huntingtin-lowering trials . 2020.0 Rodrigues , FB Byrne , LM Tortelli , R Johnson , EB Wijeratne , PA Arridge , De Vita , E Ghazaleh , N Houghton , R Furby , H Alexander , DC Tabrizi , SJ Schobel , Scahill , RI Heslegrave , Wild , EJ",H. Zetterberg,"Zetterberg , H Brain-derived neurotrophic factor cerebrospinal fluid plasma biomarker Huntington 's disease Brain-derived neurotrophic factor ( BDNF ) implicated survival striatal neurons . BDNF function reduced Huntington 's disease ( HD ) , possibly mutant huntingtin impairs cortico-striatal transport , contributing striatal neurodegeneration . BDNF trophic pathway therapeutic target , blood BDNF suggested potential biomarker HD , BDNF quantified cerebrospinal fluid ( CSF ) HD . quantified BDNF CSF plasma HD-CSF cohort ( 20 pre-manifest 40 manifest HD mutation carriers 20 age gender-matched controls ) using conventional ELISAs ultra-sensitive immunoassay . BDNF concentration limit detection conventional ELISAs , raising doubt previous CSF reports neurodegeneration . Using ultra-sensitive method , BDNF concentration quantifiable samples differ controls HD mutation carriers CSF plasma , associated clinical scores MRI brain volumetric measures , poor ability discriminate controls HD mutation carriers , premanifest manifest HD . conclude BDNF CSF plasma unlikely biomarker HD progression urge caution interpreting studies conventional ELISA used quantify CSF BDNF . 2021.0 Ou , ZYA Byrne , LM Rodrigues , FB Tortelli , R Johnson , EB Foiani , MS Arridge , De Vita , E Scahill , RI Heslegrave , Wild , EJ","Zetterberg, H",1
44494,"Zetterberg , H Brain-derived neurotrophic factor cerebrospinal fluid plasma biomarker Huntington 's disease Brain-derived neurotrophic factor ( BDNF ) implicated survival striatal neurons . BDNF function reduced Huntington 's disease ( HD ) , possibly mutant huntingtin impairs cortico-striatal transport , contributing striatal neurodegeneration . BDNF trophic pathway therapeutic target , blood BDNF suggested potential biomarker HD , BDNF quantified cerebrospinal fluid ( CSF ) HD . quantified BDNF CSF plasma HD-CSF cohort ( 20 pre-manifest 40 manifest HD mutation carriers 20 age gender-matched controls ) using conventional ELISAs ultra-sensitive immunoassay . BDNF concentration limit detection conventional ELISAs , raising doubt previous CSF reports neurodegeneration . Using ultra-sensitive method , BDNF concentration quantifiable samples differ controls HD mutation carriers CSF plasma , associated clinical scores MRI brain volumetric measures , poor ability discriminate controls HD mutation carriers , premanifest manifest HD . conclude BDNF CSF plasma unlikely biomarker HD progression urge caution interpreting studies conventional ELISA used quantify CSF BDNF . 2021.0 Ou , ZYA Byrne , LM Rodrigues , FB Tortelli , R Johnson , EB Foiani , MS Arridge , De Vita , E Scahill , RI Heslegrave , Wild , EJ","Zetterberg, H","Zetterberg , Henrik Longitudinal evaluation proton magnetic resonance spectroscopy metabolites biomarkers Huntington 's disease study Lowe et al . uses magnetic resonance spectroscopy investigate biomarker potential neurochemical metabolites Huntington 's disease . Cross-sectional associations observed metabolites prognostic measures ; however , absence consistent group differences lack clear longitudinal change indicates limited biomarker potential Huntington 's disease . Proton magnetic resonance spectroscopy non-invasive method exploring cerebral metabolism . Huntington 's disease , altered proton magnetic resonance spectroscopy-determined concentrations several metabolites described ; however , findings often discrepant longitudinal studies lacking . Proton magnetic resonance spectroscopy metabolites may represent source biomarkers , thus relationship established markers disease progression require exploration assess prognostic value elucidate pathways associated neurodegeneration . prospective single-site controlled cohort study standardized collection CSF , blood , phenotypic volumetric imaging data , used 3 proton magnetic resonance spectroscopy conjunction linear combination model spectra method quantify seven metabolites ( total n-acetylaspartate , total creatine , total choline , myo-inositol , GABA , glutamate glutathione ) putamen 59 participants baseline ( 15 healthy controls , 15 premanifest 29 manifest Huntington 's disease gene expansion carriers ) 48 participants 2-year follow-up ( 12 healthy controls , 13 premanifest 23 manifest Huntington 's disease gene expansion carriers ) . Intergroup differences concentration associations CSF plasma biomarkers ; including neurofilament light chain mutant Huntingtin , volumetric imaging markers ; namely whole brain , caudate , grey matter white matter volume , measures disease progression cognitive decline , assessed cross-sectionally using generalized linear models partial correlation . report significant groupwise differences metabolite concentration baseline found total creatine total n-acetylaspartate significantly reduced manifest compared premanifest participants follow-up . Additionally , total creatine myo-inositol displayed significant associations reduced caudate volume across time points gene expansion carriers . Although relationships observed proton magnetic resonance spectroscopy metabolites biofluid measures , consistent across time points . assess prognostic value , examined whether baseline proton magnetic resonance spectroscopy values , rate change , predicted subsequent change established measures disease progression . Several associations found inconsistent across known indicators disease progression . Finally , longitudinal mixed-effects models revealed glutamine + glutamate display slow linear decrease time gene expansion carriers . Altogether , findings show evidence reduced total n-acetylaspartate total creatine disease progresses cross-sectional associations select metabolites , namely total creatine myo-inositol , markers disease progression , potentially highlighting proposed roles neuroinflammation metabolic dysfunction disease pathogenesis . However , absence consistent group differences , inconsistency baseline follow-up , lack clear longitudinal change suggests proton magnetic resonance spectroscopy metabolites limited potential Huntington 's disease biomarkers . 2022.0 biomarkers huntington 's disease magnetic resonance spectroscopy cerebrospinal fluid Lowe , AJ Rodrigues , FB Arridge , De Vita , E Johnson , EB Scahill , RI Byrne , LM Tortelli , R Heslegrave , Wild , EJ","Zetterberg, Henrik",1
54547,"D. Wang UIR-Net : Object Detection Infrared Imaging Thermomechanical Processes Automotive Manufacturing Thermomechanical processes ( TMPs ) resistance spot welding ( RSW ) hot stamping widely used automotive manufacturing . Recent advancement sensing technology led increasing adoption thermographic cameras capture infrared ( IR ) radiation metal part ( component part ) thermomechanical processing immediately process part still hot . Detecting object ( ) interest raw IR images essential step analyzing data . Deep learning ( DL ) recent success object detection ( OD ) , application DL-based OD industrial IR images manufacturing largely lagging behind . major contribution work , also distinction previous OD studies , capability building OD model unlabeled IR images , i.e. , imaging data without accurate information indicating object position . architecture Unsupervised IR Image Net ( UIR-Net ) designed accommodate unique characteristics IR images TMPs manufacturing . study presents novel method OD unlabeled IR images TMPs . proposed method , called UIR-Net , consists two components : label generation DL model construction . Two case studies automotive manufacturing , RSW hot stamping , reported demonstrate feasibility effectiveness proposed method . Note Practitioners���This article motivated problem detecting objects weld nugget metal piece infrared ( IR ) imaging thermomechanical processes ( TMPs ) automotive manufacturing . method applicable situ IR images videos contain one objects detected . requires data image form come TMPs . Currently , existing deep learning ( DL ) -based method generic object detection ( OD ) unlabeled IR images TMPs . proposed method takes advantages recent advancement DL . article suggests systematic approach build DL-based OD model , named Unsupervised IR Image Net ( UIR-Net ) , extract objects raw IR images collected TMPs . step-by-step procedure given article guide users label generation , data quality evaluation , model training establish proposed UIR-Net model . Results resistance spot welding hot stamping suggest approach feasible effective . one generic OD works designed manufacturing applications . Simple implementation , feasibility , effectiveness make method suitable candidate online data analytics process monitoring wide range manufacturing applications . 2022 deep learning ( dl ) manufacturing object detection ( od ) unsupervised label generation infrared ( ir ) images S. Guo Z. Feng W. Guo",D. Wang,"Sleep , N Assistive artificial intelligence ultrasound image interpretation regional anaesthesia : external validation study . BACKGROUND : Ultrasonound used identify anatomical structures regional anaesthesia guide needle insertion injection local anaesthetic . ScanNav Anatomy Peripheral Nerve Block ( Intelligent Ultrasound , Cardiff , UK ) artificial intelligence-based device produces colour overlay real-time B-mode ultrasound highlight anatomical structures interest . evaluated accuracy artificial-intelligence colour overlay perceived influence risk adverse events block failure.METHODS : Ultrasound-guided regional anaesthesia experts acquired 720 videos 40 volunteers ( across nine anatomical regions ) without using device . artificial-intelligence colour overlay subsequently applied . Three experts independently reviewed video ( original unmodified video ) assess accuracy colour overlay relation key anatomical structures ( true positive/negative false positive/negative ) potential highlighting modify perceived risk adverse events ( needle trauma nerves , arteries , pleura , peritoneum ) block failure.RESULTS : artificial-intelligence models identified structure interest 93.5 % cases ( 1519/1624 ) , false-negative rate 3.0 % ( 48/1624 ) false-positive rate 3.5 % ( 57/1624 ) . Highlighting judged reduce risk unwanted needle trauma nerves , arteries , pleura , peritoneum 62.9-86.4 % cases ( 302/480 345/400 ) , increase risk 0.0-1.7 % ( 0/160 8/480 ) . Risk block failure reported reduced 81.3 % scans ( 585/720 ) increased 1.8 % ( 13/720 ) .CONCLUSIONS : Artificial intelligence-based devices potentially aid image acquisition interpretation ultrasound-guided regional anaesthesia . studies necessary demonstrate effectiveness supporting training clinical practice.CLINICAL TRIAL REGISTRATION : NCT04906018 . 2023 Bowness , James Burckett-St Laurent , David Hernandez , Nadia Keane , Pearse Lobo , Clara Margetts , Steve Moka , Eleni Pawa , Amit Rosenblatt , Meg Taylor , Alasdair Woodworth , Glenn Vasalauskaite , Asta Noble , J Alison Higham , Helen","Sleep, N",0
65955,"K. Gao Position Encoding Based Convolutional Neural Networks Machine Remaining Useful Life Prediction Accurate remaining useful life ( RUL ) prediction important industrial systems . prevents machines working failure conditions , ensures industrial system works reliably efficiently . Recently , many deep learning based methods proposed predict RUL . Among methods , recurrent neural network ( RNN ) based approaches show strong capability capturing sequential information . allows RNN based methods perform better convolutional neural network ( CNN ) based approaches RUL prediction task . paper , question common paradigm argue existing CNN based approaches designed according classic principles CNN , reduces performances . Additionally , capacity capturing sequential information highly affected receptive field CNN , neglected existing CNN based methods . solve problems , propose series new CNNs , show competitive results RNN based methods . Compared RNN , CNN processes input signals parallel temporal sequence easily determined . alleviate issue , position encoding scheme developed enhance sequential information encoded CNN . Hence , proposed position encoding based CNN called PE-Net improved even performs better RNN based methods . Extensive experiments conducted C-MAPSS dataset , PE-Net shows state-of-the-art performance . 2022 convolutional neural network ( cnn ) deep learning position encoding remaining useful life prediction R. Jin M. Wu K. Wu Z. Chen X. Li",K. Gao,"Hayden , MR Mutant Huntingtin Cleared Brain via Active Mechanisms Huntington Disease Huntington disease ( HD ) neurodegenerative disease caused CAG trinucleotide repeat expansion huntingtin ( HTT ) gene . Therapeutics lower HTT shown preclinical promise evaluated clinical trials . However , clinical assessment brain HTT lowering presents challenges . reported mutant HTT ( mHTT ) CSF HD patients correlates clinical measures , including disease burden well motor cognitive performance . also shown lowering HTT brains HD mice results correlative reduction mHTT CSF , prompting use measure exploratory marker target engagement clinical trials . study , investigate mechanisms mHTT clearance brain adult mice sexes elucidate significance therapy-induced CSF mHTT changes . demonstrate , although neurodegeneration increases CSF mHTT concentrations , mHTT also present CSF mice absence neurodegeneration . Importantly , show secretion mHTT cells CNS followed glymphatic clearance extracellular space contributes mHTT CSF . Furthermore , observe secretion wild type HTT healthy control neurons , suggesting HTT secretion normal process occurring absence pathogenesis . Overall , data support passive release active clearance mHTT CSF , suggesting treatment-induced changes may represent combination target engagement preservation neurons . 2021.0 biomarker cerebrospinal fluid glymphatic system huntington disease neurodegeneration protein secretion Caron , NS Banos , R Yanick , C Aly , AE Byrne , LM Smith , ED Xie , YY Smith , SEP Potluri , N Black , HF Casal , L Ko , Cheung , Kim , H Seong , Wild , EJ Song , JJ Southwell , AL","Hayden, MR",0
34741,"Vasalauskaite , Assistive artificial intelligence ultrasound image interpretation regional anaesthesia : external validation study . BACKGROUND : Ultrasonound used identify anatomical structures regional anaesthesia guide needle insertion injection local anaesthetic . ScanNav Anatomy Peripheral Nerve Block ( Intelligent Ultrasound , Cardiff , UK ) artificial intelligence-based device produces colour overlay real-time B-mode ultrasound highlight anatomical structures interest . evaluated accuracy artificial-intelligence colour overlay perceived influence risk adverse events block failure.METHODS : Ultrasound-guided regional anaesthesia experts acquired 720 videos 40 volunteers ( across nine anatomical regions ) without using device . artificial-intelligence colour overlay subsequently applied . Three experts independently reviewed video ( original unmodified video ) assess accuracy colour overlay relation key anatomical structures ( true positive/negative false positive/negative ) potential highlighting modify perceived risk adverse events ( needle trauma nerves , arteries , pleura , peritoneum ) block failure.RESULTS : artificial-intelligence models identified structure interest 93.5 % cases ( 1519/1624 ) , false-negative rate 3.0 % ( 48/1624 ) false-positive rate 3.5 % ( 57/1624 ) . Highlighting judged reduce risk unwanted needle trauma nerves , arteries , pleura , peritoneum 62.9-86.4 % cases ( 302/480 345/400 ) , increase risk 0.0-1.7 % ( 0/160 8/480 ) . Risk block failure reported reduced 81.3 % scans ( 585/720 ) increased 1.8 % ( 13/720 ) .CONCLUSIONS : Artificial intelligence-based devices potentially aid image acquisition interpretation ultrasound-guided regional anaesthesia . studies necessary demonstrate effectiveness supporting training clinical practice.CLINICAL TRIAL REGISTRATION : NCT04906018 . 2023 Bowness , James Burckett-St Laurent , David Hernandez , Nadia Keane , Pearse Lobo , Clara Margetts , Steve Moka , Eleni Pawa , Amit Rosenblatt , Meg Sleep , Nick Taylor , Alasdair Woodworth , Glenn Noble , J Alison Higham , Helen","Vasalauskaite, A","Vasalauskaite , Asta Evaluation impact assistive artificial intelligence ultrasound scanning regional anaesthesia . BACKGROUND : Ultrasound-guided regional anaesthesia relies visualisation key landmark , target , safety structures ultrasound . However , challenging , particularly inexperienced practitioners . Artificial intelligence ( AI ) increasingly applied medical image interpretation , including ultrasound . exploratory study , evaluated ultrasound scanning performance non-experts ultrasound-guided regional anaesthesia , without use assistive AI device.METHODS : Twenty-one anaesthetists , non-experts ultrasound-guided regional anaesthesia , underwent standardised teaching session ultrasound scanning six peripheral nerve blocks . performed scan block ; half scans performed AI assistance half without . Experts assessed acquisition correct block view correct identification sono-anatomical structures view . Participants reported scan confidence , experts provided global rating score scan performance , scans timed.RESULTS : Experts assessed 126 ultrasound scans . Participants acquired correct block view 56/62 ( 90.3 % ) scans device compared 47/62 ( 75.1 % ) without ( P=0.031 , two data points lost ) . Correct identification sono-anatomical structures view 188/212 ( 88.8 % ) device compared 161/208 ( 77.4 % ) without ( P=0.002 ) . significant overall difference participant confidence , expert global performance score , scan time.CONCLUSIONS : Use assistive AI device associated improved ultrasound image acquisition interpretation . technology holds potential augment performance ultrasound scanning regional anaesthesia non-experts , potentially expanding patient access techniques.CLINICAL TRIAL REGISTRATION : NCT05156099 . 2023 Bowness , James Macfarlane , Alan J R Burckett-St Laurent , David Harris , Catherine Margetts , Steve Morecroft , Megan Phillips , David Rees , Tom Sleep , Nick West , Simeon Noble , J Alison Higham , Helen","Vasalauskaite, Asta",1
49400,"Lakhani , Hari Vishal Detecting early onset anthracyclines-induced cardiotoxicity using novel panel biomarkers West-Virginian population breast cancer Cardiotoxic manifestation associated breast cancer treatment anthracycline regimen increases patients ' susceptibility myocardial injury , reduction left ventricular ejection fraction complications associated heart failure . currently standardized , minimally invasive , cost effective clinically verified procedure monitor cardiotoxicity post-anthracycline therapy initiation , detect early onset irreversible cardiovascular complications . study aims create panel novel biomarkers circulating miRNAs associated cardiotoxicity , assessing correlation cardiac injury specific markers , troponin , demonstrate development cardiac dysfunction breast cancer patients . Blood obtained West Virginian females clinically diagnosed breast cancer receiving anthracyclines showed upregulated level biomarkers circulating miRNAs 3 6 months chemotherapy initiation increased levels cardiac troponin T. biomarkers miRNAs significantly correlated elevated troponins . Following 6 months anthracycline-regimens , 23 % patient population showed cardiotoxicity reduced left ventricular ejection fraction . results support clinical application plasma biomarkers circulating miRNAs develop panel early diagnosis chemotherapy related cardiac dysfunction enable early detection disease progression management irreversible cardiac damage . 2021.0 Pillai , SS Zehra , Dao , B Tirona , MT Thompson , E Sodhi , K","Lakhani, Hari Vishal","Gregory , Multi-Study Model-Based Evaluation Sequence Imaging Clinical Biomarker Changes Huntington 's Disease Understanding order progression change biomarkers neurodegeneration essential detect effects pharmacological interventions biomarkers . Huntington 's disease ( HD ) , motor , cognitive MRI biomarkers currently used clinical trials drug efficacy . first time use directly compare data three large observational studies HD ( total N = 532 ) using probabilistic event-based model ( EBM ) characterise order motor , cognitive MRI biomarkers become abnormal . also investigate impact genetic cause HD , cytosine-adenine-guanine ( CAG ) repeat length , progression stages . find EBM uncovers broadly consistent order events across three studies ; EBM stage reflects clinical stage ; EBM stage related age genetic burden . findings indicate measures subcortical white matter volume become abnormal prior clinical cognitive biomarkers . Importantly , CAG repeat length large impact timing onset stage progression stages , longer repeat length resulting earlier onset faster progression . results used help design clinical trials treatments Huntington 's disease , influencing choice biomarkers recruitment participants . 2021.0 huntington 's disease biomarkers disease progression model multi-study investigation clinical staging Wijeratne , PA Johnson , EB Georgiou-Karistianis , N Paulsen , JS Scahill , RI Tabrizi , SJ Alexander , DC","Gregory, S",0
